id,time
45648,17:23 4 June 2012
45649,17:25 4 June 2012
45650,18:41 4 June 2012
45674,21:12 4 June 2012
45676,21:15 4 June 2012
45680,21:36 4 June 2012
45681,21:37 4 June 2012
45682,21:38 4 June 2012
45683,21:38 4 June 2012
45685,21:39 4 June 2012
45686,21:39 4 June 2012
45688,21:41 4 June 2012
45689,21:42 4 June 2012
45692,21:43 4 June 2012
45693,21:43 4 June 2012
45694,21:48 4 June 2012
45695,21:57 4 June 2012
45697,22:03 4 June 2012
45699,22:05 4 June 2012
45700,22:06 4 June 2012
45710,22:31 4 June 2012
45711,22:33 4 June 2012
45712,22:43 4 June 2012
45713,22:51 4 June 2012
45714,22:51 4 June 2012
45719,23:13 4 June 2012
45720,23:13 4 June 2012
45725,23:24 4 June 2012
45726,23:28 4 June 2012
45727,23:28 4 June 2012
45730,23:35 4 June 2012
45733,23:38 4 June 2012
45734,23:39 4 June 2012
45743,07:05 5 June 2012
45748,09:31 5 June 2012
45751,10:42 5 June 2012
45752,10:42 5 June 2012
45753,10:45 5 June 2012
45754,10:46 5 June 2012
45755,11:07 5 June 2012
45760,13:30 5 June 2012
45763,14:10 5 June 2012
45781,14:34 5 June 2012
45782,14:34 5 June 2012
45783,14:34 5 June 2012
45784,14:58 5 June 2012
45785,14:59 5 June 2012
45786,14:59 5 June 2012
45787,15:00 5 June 2012
45789,15:00 5 June 2012
45790,15:01 5 June 2012
45796,15:51 5 June 2012
45808,18:50 5 June 2012
45810,20:05 5 June 2012
45811,20:15 5 June 2012
45812,20:16 5 June 2012
45813,20:22 5 June 2012
45814,20:23 5 June 2012
45815,20:44 5 June 2012
45816,20:49 5 June 2012
45817,20:56 5 June 2012
45820,21:44 5 June 2012
45825,22:06 5 June 2012
45844,00:29 6 June 2012
45849,07:06 6 June 2012
45859,08:56 6 June 2012
45860,10:48 6 June 2012
45862,11:39 6 June 2012
45866,14:44 6 June 2012
45867,14:45 6 June 2012
45868,14:53 6 June 2012
45869,15:09 6 June 2012
45899,16:40 6 June 2012
45900,16:40 6 June 2012
45902,16:41 6 June 2012
45914,17:14 6 June 2012
45917,17:30 6 June 2012
45921,17:34 6 June 2012
45968,23:56 6 June 2012
45980,12:21 7 June 2012
45983,13:06 7 June 2012
45989,14:20 7 June 2012
46021,07:50 8 June 2012
46024,08:00 8 June 2012
46038,00:03 9 June 2012
46039,00:04 9 June 2012
46040,00:05 9 June 2012
46066,21:34 9 June 2012
46075,09:14 10 June 2012
46081,15:06 10 June 2012
46082,15:08 10 June 2012
46087,21:16 10 June 2012
46144,13:40 11 June 2012
46149,15:53 11 June 2012
46256,20:04 12 June 2012
46354,12:43 14 June 2012
46460,14:38 17 June 2012
46576,20:11 18 June 2012
46577,20:12 18 June 2012
46819,09:26 27 June 2012
