id,time
61607,15:31 6 June 2016
61671,15:51 12 June 2016
61857,00:39 14 June 2016
61922,11:26 14 June 2016
61959,14:31 14 June 2016
61996,17:15 14 June 2016
62013,17:32 14 June 2016
62036,18:19 14 June 2016
62049,18:41 14 June 2016
62067,19:55 14 June 2016
62084,20:45 14 June 2016
62103,21:27 14 June 2016
62119,21:44 14 June 2016
62136,22:01 14 June 2016
62154,22:19 14 June 2016
62168,22:30 14 June 2016
62184,22:54 14 June 2016
62208,23:36 14 June 2016
62223,00:31 15 June 2016
62237,06:47 15 June 2016
62251,07:02 15 June 2016
62275,08:11 15 June 2016
62289,08:39 15 June 2016
62308,09:17 15 June 2016
62335,10:06 15 June 2016
62348,10:16 15 June 2016
62363,10:40 15 June 2016
62388,11:03 15 June 2016
62423,11:40 15 June 2016
62443,12:39 15 June 2016
62457,13:05 15 June 2016
62479,13:57 15 June 2016
62497,14:22 15 June 2016
62516,15:01 15 June 2016
62535,15:11 15 June 2016
62567,15:57 15 June 2016
62589,16:30 15 June 2016
62614,17:43 15 June 2016
62631,19:31 15 June 2016
62645,19:57 15 June 2016
62660,20:53 15 June 2016
62682,23:06 15 June 2016
62701,23:45 15 June 2016
62718,07:41 16 June 2016
62769,10:44 16 June 2016
62823,12:08 16 June 2016
62877,15:48 16 June 2016
62970,22:01 16 June 2016
63016,09:20 17 June 2016
63051,11:35 17 June 2016
63088,14:14 17 June 2016
63158,17:11 17 June 2016
63183,18:37 17 June 2016
63250,10:24 19 June 2016
63291,17:03 19 June 2016
63321,10:30 20 June 2016
63412,18:29 20 June 2016
63504,09:34 22 June 2016
63635,16:24 24 June 2016
63648,16:29 24 June 2016
63833,10:03 28 June 2016
