id,time
47286,11:27 27 July 2012
48831,12:59 2 June 2013
48921,09:03 4 June 2013
48956,10:25 4 June 2013
49039,16:07 4 June 2013
49042,16:12 4 June 2013
49045,16:16 4 June 2013
49049,16:32 4 June 2013
49052,16:35 4 June 2013
49056,17:04 4 June 2013
49059,17:06 4 June 2013
49062,17:07 4 June 2013
49065,17:12 4 June 2013
49078,18:25 4 June 2013
49081,18:26 4 June 2013
49089,21:50 4 June 2013
49094,21:55 4 June 2013
49100,22:00 4 June 2013
49111,22:51 4 June 2013
49123,23:41 4 June 2013
49131,23:53 4 June 2013
49135,00:12 5 June 2013
49142,00:47 5 June 2013
49147,01:38 5 June 2013
49150,02:04 5 June 2013
49153,04:42 5 June 2013
49156,05:04 5 June 2013
49163,06:52 5 June 2013
49176,08:56 5 June 2013
49187,09:20 5 June 2013
49198,09:47 5 June 2013
49201,10:00 5 June 2013
49204,10:04 5 June 2013
49207,10:06 5 June 2013
49214,10:38 5 June 2013
49220,10:47 5 June 2013
49228,10:53 5 June 2013
49235,13:14 5 June 2013
49240,13:40 5 June 2013
49244,14:23 5 June 2013
49247,14:40 5 June 2013
49258,15:12 5 June 2013
49264,15:18 5 June 2013
49276,15:45 5 June 2013
49294,19:48 5 June 2013
49305,21:25 5 June 2013
49309,21:32 5 June 2013
49333,04:04 6 June 2013
49336,04:06 6 June 2013
49420,12:47 6 June 2013
49475,16:51 6 June 2013
49524,22:40 6 June 2013
49556,08:16 7 June 2013
49562,09:03 7 June 2013
49610,20:23 7 June 2013
49738,15:03 9 June 2013
49864,14:14 10 June 2013
49905,09:01 11 June 2013
50012,13:39 11 June 2013
50053,09:37 12 June 2013
50141,13:27 13 June 2013
50182,07:35 14 June 2013
50202,13:32 14 June 2013
50205,13:41 14 June 2013
