id,time
52982,11:09 3 June 2014
53079,20:56 8 June 2014
53383,00:22 11 June 2014
53407,12:29 11 June 2014
53443,15:36 11 June 2014
53459,17:24 11 June 2014
53481,18:44 11 June 2014
53490,19:02 11 June 2014
53498,19:19 11 June 2014
53505,19:35 11 June 2014
53512,19:47 11 June 2014
53521,20:33 11 June 2014
53532,20:59 11 June 2014
53539,21:45 11 June 2014
53546,21:51 11 June 2014
53563,22:34 11 June 2014
53573,23:28 11 June 2014
53580,00:18 12 June 2014
53589,06:18 12 June 2014
53597,07:25 12 June 2014
53605,07:40 12 June 2014
53614,09:42 12 June 2014
53621,09:45 12 June 2014
53629,09:59 12 June 2014
53637,10:03 12 June 2014
53652,10:29 12 June 2014
53659,10:43 12 June 2014
53667,10:49 12 June 2014
53676,10:58 12 June 2014
53686,11:39 12 June 2014
53696,12:52 12 June 2014
53711,13:12 12 June 2014
53719,13:26 12 June 2014
53726,13:34 12 June 2014
53746,14:20 12 June 2014
53753,14:36 12 June 2014
53765,14:57 12 June 2014
53775,15:27 12 June 2014
53782,16:10 12 June 2014
53790,16:54 12 June 2014
53798,17:42 12 June 2014
53807,19:12 12 June 2014
53821,20:02 12 June 2014
53839,20:58 12 June 2014
53854,21:41 12 June 2014
53864,23:33 12 June 2014
53872,02:29 13 June 2014
53879,07:27 13 June 2014
53897,09:14 13 June 2014
53969,13:55 13 June 2014
53985,15:32 13 June 2014
54008,20:42 13 June 2014
54097,12:48 14 June 2014
54110,16:57 14 June 2014
54118,18:34 14 June 2014
54158,08:50 15 June 2014
54182,13:26 15 June 2014
54251,15:09 15 June 2014
54298,18:16 15 June 2014
54345,22:28 15 June 2014
54398,14:42 16 June 2014
54481,20:13 16 June 2014
54648,17:17 17 June 2014
54690,10:01 18 June 2014
54790,21:14 18 June 2014
54959,01:19 21 June 2014
55140,07:56 25 June 2014
